Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
2021-01-06,CO,349450.0,133769.0,9820.0,100048.0,4753.0,1957.0,1013.0,4822.0,2516.0,90752.0,100048.0,158650.0,90752.0,5050.0,3163.0,174.0,1042.0,108.0,32.0,9.0,121.0,34.0,367.0,1042.0,3641.0,367.0
2020-04-19,CO,9730.0,5381.0,707.0,,248.0,49.0,53.0,155.0,102.0,3.0,,,,422.0,294.0,36.0,,13.0,1.0,4.0,3.0,0.0,2.0,,,
2020-09-27,CO,69079.0,25835.0,2922.0,25427.0,1326.0,393.0,276.0,904.0,538.0,11453.0,25427.0,32194.0,11458.0,1940.0,1210.0,122.0,451.0,61.0,13.0,6.0,27.0,9.0,36.0,451.0,1448.0,36.0
2020-10-07,CO,74922.0,28597.0,3041.0,27698.0,1431.0,419.0,284.0,1041.0,576.0,11837.0,27698.0,35389.0,11835.0,1990.0,1246.0,124.0,461.0,63.0,13.0,6.0,29.0,9.0,35.0,461.0,1490.0,35.0
2020-07-01,CO,33029.0,11355.0,1776.0,12494.0,809.0,188.0,125.0,336.0,277.0,5661.0,12494.0,14866.0,5661.0,1697.0,1064.0,109.0,358.0,57.0,8.0,5.0,21.0,6.0,63.0,358.0,1270.0,63.0
2021-01-20,CO,379227.0,148695.0,10732.0,106942.0,5423.0,2237.0,1100.0,5347.0,2768.0,95983.0,106942.0,176302.0,95983.0,5422.0,3415.0,180.0,1111.0,111.0,36.0,9.0,137.0,36.0,387.0,1111.0,3924.0,387.0
2021-03-03,CO,431670.0,179488.0,12562.0,118537.0,6302.0,2504.0,1252.0,6475.0,3281.0,101269.0,118537.0,211864.0,101269.0,5970.0,3851.0,192.0,1205.0,114.0,37.0,9.0,184.0,38.0,340.0,1205.0,4425.0,340.0
2020-04-12,CO,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,CO,8280.0,4738.0,582.0,2441.0,214.0,40.0,43.0,13.0,86.0,123.0,,,,357.0,247.0,25.0,63.0,10.0,2.0,4.0,3.0,,3.0,,,
2020-09-13,CO,61324.0,22646.0,2814.0,23192.0,1208.0,331.0,245.0,821.0,496.0,9566.0,23192.0,28561.0,9571.0,1889.0,1182.0,120.0,437.0,59.0,13.0,5.0,26.0,8.0,35.0,437.0,1413.0,35.0
