Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,White_Cases_per,Black_Cases_per,Latinx_Cases_per,Asian_Cases_per,Native_Cases_per,Pacific_Islander_Cases_per,White_Deaths_per,Black_Deaths_per,Latinx_Deaths_per,Asian_Deaths_per,Native_Deaths_per,Pacific_Islander_Deaths_per
2021-01-17,WA,289939.0,76340.0,8736.0,54564.0,10078.0,2307.0,3065.0,4658.0,2574.0,127617.0,54564.0,107758.0,127617.0,3903.0,2592.0,121.0,458.0,263.0,78.0,61.0,43.0,56.0,231.0,458.0,3214.0,231.0,0.2632967624224406,0.030130475720755057,0.18819130920641927,0.03475903552126482,0.00795684609521313,0.010571189112192564,0.6641045349730976,0.031001793492185497,0.11734563156546246,0.067384063540866,0.019984627209838585,0.0156290033307712
2021-01-20,WA,294017.0,77977.0,8869.0,55388.0,10319.0,2353.0,3120.0,4746.0,2605.0,128640.0,55388.0,109989.0,128640.0,3940.0,2798.0,125.0,475.0,284.0,80.0,65.0,45.0,57.0,11.0,475.0,3454.0,11.0,0.26521255573657304,0.030164922436457756,0.1883836648901254,0.03509661005996252,0.008002938605590834,0.010611631300230939,0.7101522842639594,0.031725888324873094,0.12055837563451777,0.07208121827411168,0.02030456852791878,0.01649746192893401
2021-01-24,WA,300198.0,79486.0,9007.0,56077.0,10554.0,2399.0,3174.0,4845.0,2636.0,132020.0,56077.0,112101.0,132020.0,4114.0,2914.0,128.0,492.0,304.0,88.0,69.0,48.0,60.0,11.0,492.0,3611.0,11.0,0.26477857947088257,0.03000353100287144,0.18680004530343305,0.035156796514300565,0.007991392347717173,0.010573021805608299,0.7083130772970345,0.031113271754982984,0.11959163830821584,0.07389402041808459,0.0213903743315508,0.016771998055420515
2021-01-27,WA,305289.0,83910.0,9962.0,57551.0,10857.0,2738.0,3237.0,5257.0,2891.0,128886.0,57551.0,118852.0,128886.0,4211.0,2984.0,135.0,497.0,311.0,92.0,69.0,50.0,61.0,12.0,497.0,3702.0,12.0,0.2748543183671865,0.03263137551631405,0.18851317931533726,0.03556302388883976,0.008968551110587017,0.010603067912699115,0.7086202802184755,0.03205889337449537,0.11802422227499407,0.0738541914034671,0.021847542151507957,0.016385656613630967
2021-01-31,WA,311597.0,85656.0,10092.0,58287.0,11036.0,2798.0,3295.0,5317.0,2924.0,132192.0,58287.0,121118.0,132192.0,4285.0,3043.0,136.0,501.0,315.0,94.0,69.0,52.0,63.0,12.0,501.0,3772.0,12.0,0.27489353235108166,0.032387988331081495,0.1870589254710411,0.03541754253089728,0.008979547299877726,0.010574556237704471,0.7101516919486581,0.031738623103850644,0.11691948658109685,0.073512252042007,0.02193698949824971,0.016102683780630105
2021-02-03,WA,316294.0,87216.0,10224.0,59013.0,11272.0,2867.0,3355.0,5391.0,2957.0,133999.0,59013.0,123282.0,133999.0,4388.0,3113.0,138.0,514.0,328.0,96.0,72.0,52.0,64.0,11.0,514.0,3863.0,11.0,0.27574345387519206,0.03232435645317332,0.18657641308402942,0.03563772945424194,0.009064351521053197,0.010607219865062252,0.7094348222424794,0.031449407474931634,0.11713764813126709,0.07474931631722881,0.02187784867821331,0.016408386508659983
2021-02-07,WA,320146.0,88520.0,10343.0,59598.0,11438.0,2921.0,3404.0,5459.0,2972.0,135491.0,59598.0,125057.0,135491.0,4449.0,3158.0,140.0,519.0,335.0,96.0,72.0,52.0,65.0,12.0,519.0,3918.0,12.0,0.2764988474008733,0.03230713486971569,0.18615881504063772,0.0357274493512335,0.009123962192249787,0.010632648853960381,0.7098224320071926,0.03146774556080018,0.11665542818610924,0.07529781973477186,0.02157788267026298,0.016183412002697236
2021-02-10,WA,324706.0,89803.0,10455.0,60102.0,11646.0,2983.0,3465.0,5519.0,2987.0,137746.0,60102.0,126858.0,137746.0,4603.0,3260.0,145.0,549.0,340.0,102.0,73.0,55.0,67.0,12.0,549.0,4042.0,12.0,0.27656710993945294,0.032198357899145685,0.18509667206642316,0.03586629135279299,0.009186772033778249,0.010671191785800078,0.7082337605909189,0.03150119487290897,0.11927004127742777,0.07386487073647621,0.022159461220942863,0.01585922224636107
2021-02-14,WA,328047.0,90732.0,10527.0,60457.0,11784.0,3015.0,3511.0,5583.0,3008.0,139430.0,60457.0,128160.0,139430.0,4675.0,3304.0,147.0,564.0,347.0,104.0,74.0,56.0,67.0,12.0,564.0,4099.0,12.0,0.276582318996973,0.03208991394525784,0.1842937140104924,0.03592168195411023,0.009190756202617308,0.010702734669117534,0.7067379679144385,0.031443850267379676,0.12064171122994652,0.07422459893048128,0.022245989304812835,0.015828877005347592
2021-02-17,WA,330807.0,91749.0,10595.0,60818.0,11948.0,3050.0,3549.0,5637.0,3028.0,140433.0,60818.0,129556.0,140433.0,4759.0,3368.0,149.0,573.0,353.0,104.0,75.0,57.0,68.0,12.0,573.0,4174.0,12.0,0.27734902828537483,0.03202773822803024,0.18384737928762088,0.036117736323596536,0.009219877451202665,0.010728309860432215,0.7077117041395251,0.03130909855011557,0.1204034461021223,0.07417524690060937,0.02185333053162429,0.015759613364152134
2021-02-21,WA,333794.0,92671.0,10660.0,61150.0,12037.0,3102.0,3576.0,5689.0,3052.0,141857.0,61150.0,130787.0,141857.0,4822.0,3408.0,151.0,578.0,364.0,104.0,76.0,57.0,71.0,13.0,578.0,4231.0,13.0,0.2776293162848943,0.03193586463507433,0.18319682199200704,0.03606116347208158,0.009293156857223317,0.010713194365387035,0.7067606802156782,0.03131480713396931,0.11986727498963086,0.07548734964744919,0.021567814184985483,0.015761094981335544
