Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,White_Cases_per,Black_Cases_per,Latinx_Cases_per,Asian_Cases_per,Native_Cases_per,Pacific_Islander_Cases_per,White_Deaths_per,Black_Deaths_per,Latinx_Deaths_per,Asian_Deaths_per,Native_Deaths_per,Pacific_Islander_Deaths_per,Total_Population,White,White_per,Black,Black_per,Native_American_or_Alaskan_Native,Native_American_or_Alaskan_Native_per,Asian,Asian_per,Pacific_Islander,Pacific_Islander_per,Other,Other_per,Mixed,Mixed_per,Latinx,Latinx_per
2021-03-07,FL,1944995.0,664121.0,237772.0,608165.0,,,,,141809.0,293128.0,608165.0,917573.0,419257.0,32266.0,17316.0,4812.0,7325.0,,,,,1427.0,1386.0,7325.0,22180.0,2761.0,0.341451263370857,0.1222481291725685,0.3126820377430276,,,,0.5366639806607575,0.1491353127130726,0.2270191532882911,,,,"21,538,187","11,100,503",0.5154,"3,127,052",0.1452,"42,169",0.002,"629,626",0.0292,"11,521",0.0005,"137,933",0.0064,"792,143",0.0368,"5,697,240",0.2645
2021-03-07,GA,1023487.0,319208.0,216068.0,85460.0,17888.0,504.0,746.0,,36133.0,347480.0,85460.0,501639.0,436388.0,17906.0,8939.0,5282.0,852.0,298.0,10.0,10.0,,78.0,2437.0,852.0,14534.0,2520.0,0.3118828084772938,0.2111096672454071,0.0834988622229691,0.0174775058207871,0.0004924341979917,0.0007288807771862,0.4992181391712275,0.2949849212554451,0.0475818161510108,0.0166424662124427,0.0005584720205517,0.0005584720205517,"10,711,908","5,362,156",0.5006,"3,278,119",0.306,"20,375",0.0019,"475,680",0.0444,"6,101",0.0006,"55,887",0.0052,"390,133",0.0364,"1,123,457",0.1049
2021-03-07,GU,7749.0,418.0,,,2276.0,,3993.0,,435.0,627.0,,,7748.0,133.0,3.0,,,33.0,,79.0,,4.0,14.0,,,133.0,0.0539424441863466,,,0.293715318105562,,0.5152922957801006,0.0225563909774436,,,0.2481203007518796,,0.5939849624060151,"153,836","10,491",0.0682,"1,340",0.0087,214,0.0014,"54,586",0.3547999999999999,"70,809",0.4603,955,0.0062,"15,441",0.1003999999999999,"4,522",0.0294
2021-03-07,HI,27891.0,3646.0,580.0,,6068.0,,8008.0,,1035.0,8554.0,,,27891.0,445.0,40.0,4.0,,244.0,,137.0,,6.0,14.0,,,445.0,0.1307231723495034,0.020795238607436,,0.2175612204653831,,0.28711770822129,0.0898876404494382,0.0089887640449438,,0.5483146067415731,,0.3078651685393258,"1,455,271","314,365",0.216,"21,877",0.015,"2,321",0.0016,"531,558",0.3653,"149,054",0.1024,"5,283",0.0036,"291,890",0.2006,"138,923",0.0955
2021-03-07,IA,339671.0,200406.0,10190.0,,3397.0,888.0,824.0,,2379.0,121587.0,20380.0,190216.0,129075.0,5558.0,5154.0,134.0,,61.0,19.0,16.0,,47.0,127.0,138.0,5420.0,0.0,0.5900003238427772,0.0299996172767177,,0.0100008537673219,0.0026142944201889,0.0024258768043194,0.9273119827275998,0.0241093918675782,,0.010975170924793,0.0034184958618207,0.0028787333573227,"3,190,369","2,638,201",0.8269,"129,321",0.0405,"9,079",0.0028,"75,017",0.0235,"5,605",0.0018,"8,487",0.0027,"108,673",0.0341,"215,986",0.0677
2021-03-07,ID,172931.0,99914.0,1008.0,,1219.0,2054.0,409.0,,13191.0,55136.0,17344.0,73958.0,81629.0,1879.0,1761.0,9.0,,17.0,35.0,,,41.0,16.0,186.0,1682.0,11.0,0.5777680115190452,0.0058289144225153,,0.0070490542470696,0.0118775696665143,0.0023651051575483,0.9372006386375732,0.0047897817988291,,0.0090473656200106,0.0186269292176689,,"1,839,106","1,450,523",0.7887000000000001,"14,785",0.008,"18,903",0.0103,"26,036",0.0141999999999999,"3,401",0.0018,"8,243",0.0045,"77,808",0.0423,"239,407",0.1301999999999999
2021-03-07,IL,1198335.0,470333.0,110701.0,219967.0,27074.0,1492.0,1125.0,,41054.0,326589.0,219967.0,651779.0,326589.0,23014.0,12202.0,3668.0,3291.0,737.0,26.0,20.0,,120.0,2950.0,3291.0,16773.0,2950.0,0.3924887448000768,0.0923790092086102,0.1835605235597725,0.0225930144742496,0.00124506085527,0.0009388025885916,0.5301990092986878,0.1593812461979664,0.1429999130963761,0.0320239854001911,0.0011297471104545,0.0008690362388111,"12,812,508","7,472,751",0.5832,"1,775,612",0.1386,"16,561",0.0013,"747,280",0.0583,"2,959",0.0002,"45,080",0.0034999999999999,"414,855",0.0324,"2,337,410",0.1823999999999999
2021-03-07,IN,667262.0,452265.0,44471.0,,8987.0,,,,72744.0,88795.0,38378.0,350560.0,278324.0,12737.0,9096.0,939.0,,70.0,,,,1591.0,1041.0,275.0,6823.0,5639.0,0.6777922315372372,0.0666469842430709,,0.01346847265392,,,0.7141399073565203,0.0737222265839679,,0.0054957996388474,,,"6,785,528","5,121,004",0.7547,"637,500",0.0939,"12,938",0.0019,"166,651",0.0246,"2,761",0.0004,"25,139",0.0037,"265,344",0.0391,"554,191",0.0817
2021-03-07,KS,295861.0,209752.0,14330.0,,5525.0,2074.0,,,12197.0,51983.0,39177.0,182461.0,74223.0,4812.0,3721.0,235.0,,64.0,38.0,,,245.0,509.0,310.0,3795.0,707.0,0.7089545428427538,0.0484349069326474,,0.0186743098955252,0.0070100486377048,,0.7732751454696591,0.048836242726517,,0.0133000831255195,0.0078969243557772,,"2,937,880","2,122,575",0.7225,"168,352",0.0556,"21,921",0.0075,"85,225",0.0289999999999999,"3,115",0.0011,"10,064",0.0034,"149,025",0.0507,"382,603",0.1301999999999999
2021-03-07,KY,410709.0,286431.0,26883.0,,3680.0,833.0,374.0,16253.0,,76255.0,17452.0,300330.0,92927.0,4819.0,3981.0,371.0,,23.0,4.0,2.0,118.0,,320.0,73.0,4219.0,527.0,0.6974061927057844,0.0654551032482852,,0.0089601153127883,0.0020282000150958,0.0009106204149409,0.8261050010375597,0.076986926748288,,0.0047727744345299,0.0008300477277443,0.0004150238638721,"4,505,836","3,664,764",0.8133,"357,764",0.0794,"8,080",0.0018,"73,843",0.0163999999999999,"3,462",0.0008,"14,706",0.0033,"175,363",0.0389,"207,854",0.0461
